State,District,state_code,district_code,censuscode,earliest_block_date,Age,Total_HHs_Mob,Total_SHGs,RF_Eligible,RF_Provided_Num,RF_Amt,CIF_Provided_Num,CIF_Amt,Total_CIS
ANDAMAN AND NICOBAR,NICOBARS,1,102,638,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,1,103,639,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN AND NICOBAR,SOUTH ANDAMAN,1,101,640,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,ANANTAPUR,2,212,553,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,CHITTOOR,2,210,554,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,CUDDAPAH,2,211,551,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,EAST GODAVARI,2,204,545,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,GUNTUR,2,207,548,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KRISHNA,2,206,547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KURNOOL,2,213,552,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,NELLORE,2,209,550,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,PRAKASAM,2,208,549,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,SRIKAKULAM,2,201,542,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,VISAKHAPATANAM,2,203,544,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,VIZIANAGARAM,2,202,543,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,WEST GODAVARI,2,205,546,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,ANJAW,3,317,260,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,CHANGLANG,3,310,253,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,EAST KAMENG,3,303,247,01-10-2017,0.5,145.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,EAST SIANG,3,307,251,01-10-2017,0.5,685.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,KURUNG KUMEY,3,316,256,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,LOHIT,3,309,259,11-09-2017,0.6,223.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,3,314,258,06-10-2016,1.5,853.0,85.0,62.0,6.9,11.0,5.6,12.5,23.5
ARUNACHAL PRADESH,LOWER SUBANSIRI,3,304,255,01-10-2017,0.5,919.0,111.0,60.0,5.8,0.0,0.0,5.8,5.8
ARUNACHAL PRADESH,PAPUM PARE,3,312,248,15-09-2016,1.6,832.0,107.0,64.0,6.2,0.0,0.0,6.2,6.2
ARUNACHAL PRADESH,TAWANG,3,301,245,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,TIRAP,3,311,254,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,3,315,257,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUNACHAL PRADESH,UPPER SIANG,3,313,252,01-10-2017,0.5,182.0,19.0,19.0,1.4,0.0,0.0,1.4,1.4
